country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
FR,coal+lignite,2650510.0,2647338.0,99.88032491860056,2506554.0,0.0,946.8205419935044
FR,gas,29941463.0,28356317.0,94.70584987780991,13039036.0,0.0,459.82826331078184
FR,oil,648159.0,648159.0,100.0,488520.0,0.0,753.7039522709706
GR,coal+lignite,5587968.0,5504478.0,98.50589695574492,8124808.487137908,221747.51286209218,1476.0361449601412
GR,gas,18666175.0,18645330.0,99.88832741576675,7284108.3984933905,769575.6015066089,390.666638696842
GR,lignite,5587968.0,5504478.0,98.50589695574492,8124808.487137908,221747.51286209218,1476.0361449601412
HU,coal+lignite,2848973.1599999946,2848973.1599999946,100.0,3425063.847166289,34791.152833711014,1202.2099383927844
HU,gas,5542920.617499673,5542920.617499673,100.00000000000001,2156273.376637022,250475.62336297802,389.01393785604745
HU,lignite,2848973.1599999946,2848973.1599999946,100.0,3425063.847166289,34791.152833711014,1202.2099383927844
HU,oil,17349.857500000606,17349.857500000606,100.0,17029.0,0.0,981.5066204433901
IE,coal,1634584.2699999996,1634584.2699999996,99.99999999999999,2652354.0,0.0,1622.647451513773
IE,coal+lignite,1634584.2699999996,1634584.2699999996,99.99999999999999,2652354.0,0.0,1622.647451513773
IE,gas,8711969.664999994,8711969.664999994,100.0,5923205.896295352,768429.1037046481,679.8928513366623
IE,oil,290581.96500000043,290581.96500000043,100.0,342343.0,0.0,1178.128862883832
IT,coal,20734095.0,20734095.0,100.0,20589926.0,0.0,993.0467666903234
IT,coal+lignite,20734095.0,20734095.0,100.0,20589926.0,0.0,993.0467666903234
IT,gas,113465234.0,112434826.0,99.09187337506394,44916425.46076804,478458.53923196817,399.4885486883578
IT,oil,2130885.0,2130885.0,100.0,1838449.0,0.0,862.7631242418056
LT,gas,278601.0,277928.0,99.75843589936864,95777.72989398803,10888.270106011978,344.6134606588326
LV,gas,1006533.0,1006533.0,100.0,348007.05926673056,139945.94073326947,345.74828571614694
NL,coal,19262490.589999847,19262490.589999847,100.0,11594786.590198513,108727.40980148634,601.9360028249911
NL,coal+lignite,19262490.589999847,19262490.589999847,100.0,11594786.590198513,108727.40980148634,601.9360028249911
NL,gas,33332107.70999999,30572787.999999978,91.7217364890124,14986911.908735853,457065.09126414615,490.2042924163758
NO,gas,200350.72999999975,0.0,0.0,0.0,0.0,
PL,coal,62783603.87000002,55410910.82,88.25697698834564,49374738.198128246,5577529.801871755,891.0652697718684
PL,coal+lignite,106449640.84,99076947.78999999,93.07400852476188,98572378.62842302,6086227.37157698,994.9073001053036
PL,gas,7766059.690000015,4805647.300000001,61.88012314904048,2102577.191367781,1524087.808632219,437.5221609309073
PL,lignite,43666036.969999984,43666036.969999984,100.0,49197640.430294774,508697.5697052245,1126.6797686287673
PT,gas,13916875.799999973,13916875.799999973,100.0,5074252.0,0.0,364.61143096498785
RO,coal,247791.22000000253,247791.22000000253,100.0,333429.0,0.0,1345.604577918445
RO,coal+lignite,8866043.920000013,8866043.920000011,99.99999999999997,7993800.823620608,294685.17637939146,901.6198087614029
RO,gas,5405495.729999992,2233632.5000000047,41.32151076548918,1127708.7289257522,565240.2710742478,504.87657612689185
RO,lignite,8618252.70000001,8618252.700000009,99.99999999999997,7660371.823620608,294685.17637939146,888.8543989456936
SE,gas,118353.98000000216,118353.98000000216,100.0,34993.54418724854,22460.45581275146,295.6685038158235
SE,oil,312146.0099999994,232944.82999999943,74.626880542218,174790.0,0.0,750.3493423743314
SI,coal+lignite,2546223.279999987,2546223.279999987,100.0,2519970.7748720874,140782.22512791262,989.6896296039286
SI,gas,14954.600000000006,14954.600000000006,99.99999999999999,35236.0,0.0,2356.198092894493
SI,lignite,2546223.279999987,2546223.279999987,100.0,2519970.7748720874,140782.22512791262,989.6896296039286
SK,coal,183904.99000000022,183904.99000000022,100.0,222681.53919490668,8843.460805093313,1210.850989931847
SK,coal+lignite,962780.6300000147,962780.6300000147,99.99999999999999,1167648.3434237023,138695.65657629777,1212.7875312818503
SK,gas,254703.00999996022,254703.00999996022,100.0,94033.41573460074,194898.58426539926,369.1884745869922
SK,lignite,778875.6400000144,778875.6400000144,100.0,944966.8042287956,129852.19577120445,1213.244779652857
